time,gfx,gFy,gFz,wx,wy,wz,I,mode
1.86,0.813690185546875,5.0257568359375,10.112701416015625,-0.1275177001953125,0.0749969482421875,-0.187744140625,93.69218444824219,texting
1.8800000000000001,0.250701904296875,5.4482269287109375,7.0062713623046875,-0.1275177001953125,0.0749969482421875,-0.187744140625,93.69218444824219,texting
1.9000000000000001,-0.16986083984375,5.491790771484375,7.9291534423828125,-0.1275177001953125,0.0749969482421875,-0.187744140625,93.69218444824219,texting
1.92,-0.0402679443359375,4.45953369140625,9.231124877929688,-0.1275177001953125,0.0749969482421875,-0.187744140625,94.08323669433594,texting
1.94,0.3007354736328125,3.529296875,7.31927490234375,-0.1275177001953125,0.0749969482421875,-0.187744140625,94.08323669433594,texting
1.96,-0.111785888671875,3.7777862548828125,5.186676025390625,-0.1275177001953125,0.0749969482421875,-0.187744140625,94.08323669433594,texting
1.98,-0.2804412841796875,3.8998260498046875,5.5051422119140625,0.546966552734375,-0.0776214599609375,-0.4647216796875,88.4365234375,texting
0,0.726837158203125,4.3735809326171875,7.6887054443359375,0.546966552734375,-0.0776214599609375,-0.4647216796875,94.52095031738281,texting
0.02,-0.7014617919921875,5.1975555419921875,5.3705291748046875,0.100341796875,-0.0989532470703125,0.05401611328125,91.2750244140625,texting
0.04,-1.7195281982421875,5.939208984375,6.1510009765625,0.100341796875,-0.0989532470703125,0.05401611328125,91.2750244140625,texting
0.06,-1.56591796875,6.0701904296875,9.009002685546875,0.100341796875,-0.0989532470703125,0.05401611328125,91.2750244140625,texting
0.08,-0.8759918212890625,5.7827911376953125,11.087677001953125,0.100341796875,-0.0989532470703125,0.05401611328125,91.2750244140625,texting
0.1,-0.5391845703125,5.7068634033203125,10.554840087890625,0.100341796875,-0.0989532470703125,0.05401611328125,91.2750244140625,texting
0.12,-1.1601715087890625,5.7042999267578125,8.397781372070312,0.100341796875,-0.0989532470703125,0.05401611328125,74.22305297851562,texting
0.14,-1.6731414794921875,5.8696136474609375,7.0227508544921875,0.100341796875,-0.0989532470703125,0.05401611328125,74.22305297851562,texting
0.16,-1.4917144775390625,5.7953033447265625,8.059494018554688,0.100341796875,-0.0989532470703125,0.05401611328125,74.22305297851562,texting
0.18,-0.7853851318359375,5.1382598876953125,10.251556396484375,0.100341796875,-0.0989532470703125,0.05401611328125,74.22305297851562,texting
0.2,0.1219329833984375,4.444610595703125,11.252731323242188,0.100341796875,-0.0989532470703125,0.05401611328125,74.22305297851562,texting
0.22,0.3883514404296875,3.9490509033203125,8.588897705078125,-0.4991455078125,0.2700042724609375,0.7126312255859375,56.23211669921875,texting
0.24,0.1056671142578125,4.242340087890625,7.433563232421875,-0.4991455078125,0.2700042724609375,0.7126312255859375,56.23211669921875,texting
0.26,-0.19293212890625,4.35601806640625,7.51708984375,-0.4991455078125,0.2700042724609375,0.7126312255859375,56.23211669921875,texting
0.28,-0.5892791748046875,4.1662750244140625,7.14764404296875,-0.4991455078125,0.2700042724609375,0.7126312255859375,56.23211669921875,texting
0.3,-0.858612060546875,4.09405517578125,6.109130859375,-0.4991455078125,0.2700042724609375,0.7126312255859375,56.23211669921875,texting
0.32,-0.4290008544921875,4.134674072265625,5.860321044921875,-0.4991455078125,0.2700042724609375,0.7126312255859375,50.34248352050781,texting
0.34,0.724578857421875,4.1512908935546875,6.175628662109375,-0.4991455078125,0.2700042724609375,0.7126312255859375,50.34248352050781,texting
0.36,1.67132568359375,4.5239715576171875,5.9657440185546875,-0.4991455078125,0.2700042724609375,0.7126312255859375,50.34248352050781,texting
0.38,1.4496307373046875,5.042694091796875,5.2753143310546875,-0.4991455078125,0.2700042724609375,0.7126312255859375,50.34248352050781,texting
0.4,0.1551971435546875,5.7246551513671875,5.198944091796875,-0.1142425537109375,-0.0941925048828125,0.54736328125,52.792816162109375,texting
0.42,-2.042755126953125,6.4334869384765625,10.8216552734375,-0.1142425537109375,-0.0941925048828125,0.54736328125,52.792816162109375,texting
0.44,-0.048187255859375,4.21966552734375,12.460464477539062,-0.1142425537109375,-0.0941925048828125,0.54736328125,52.792816162109375,texting
0.46,0.92822265625,4.3822021484375,5.103790283203125,-0.1142425537109375,-0.0941925048828125,0.54736328125,40.90553283691406,texting
0.48,0.4619598388671875,5.356536865234375,4.4930877685546875,-0.1142425537109375,-0.0941925048828125,0.54736328125,40.90553283691406,texting
0.5,-0.20208740234375,5.980194091796875,7.0013427734375,-0.1142425537109375,-0.0941925048828125,0.54736328125,40.90553283691406,texting
0.52,-0.276275634765625,5.8654022216796875,9.99114990234375,-0.1142425537109375,-0.0941925048828125,0.54736328125,40.90553283691406,texting
0.54,0.4971771240234375,5.376434326171875,11.130783081054688,0.0020294189453125,0.266845703125,0.595001220703125,40.90553283691406,texting
0.56,1.62957763671875,5.311370849609375,10.282974243164062,0.0020294189453125,0.266845703125,0.595001220703125,44.65568542480469,texting
0.58,1.74481201171875,5.927337646484375,9.282562255859375,0.0020294189453125,0.266845703125,0.595001220703125,44.65568542480469,texting
0.6,0.1787261962890625,6.48040771484375,10.067764282226562,0.0020294189453125,0.266845703125,0.595001220703125,44.65568542480469,texting
0.62,-1.291229248046875,6.59942626953125,12.700027465820312,0.0020294189453125,0.266845703125,0.595001220703125,44.65568542480469,texting
0.64,-1.4958038330078125,6.2099151611328125,14.742019653320312,0.0020294189453125,0.266845703125,0.595001220703125,44.65568542480469,texting
0.66,-1.090911865234375,5.1981353759765625,13.22283935546875,0.0020294189453125,0.266845703125,0.595001220703125,40.34400939941406,texting
0.68,-0.509765625,4.669921875,9.851943969726562,0.0020294189453125,0.266845703125,0.595001220703125,40.34400939941406,texting
0.7000000000000001,-0.66632080078125,4.430145263671875,7.5203399658203125,0.0020294189453125,0.266845703125,0.595001220703125,40.34400939941406,texting
0.72,-0.7232513427734375,4.326324462890625,6.912384033203125,0.0020294189453125,0.266845703125,0.595001220703125,40.34400939941406,texting
0.74,-0.4430084228515625,3.994110107421875,7.30810546875,0.3871917724609375,0.3811187744140625,0.4638671875,39.06794738769531,texting
0.76,-0.1965179443359375,3.5318603515625,7.617706298828125,0.3871917724609375,0.3811187744140625,0.4638671875,39.06794738769531,texting
0.78,0.1757659912109375,3.1510162353515625,7.395294189453125,0.3871917724609375,0.3811187744140625,0.4638671875,39.06794738769531,texting
0.8,0.375152587890625,3.0112457275390625,5.78704833984375,0.3871917724609375,0.3811187744140625,0.4638671875,39.06794738769531,texting
0.8200000000000001,0.1715240478515625,3.308929443359375,5.2100830078125,0.3871917724609375,0.3811187744140625,0.4638671875,39.06794738769531,texting
0.84,-0.0605621337890625,3.5426177978515625,5.034454345703125,0.3871917724609375,0.3811187744140625,0.4638671875,36.20196533203125,texting
0.86,0.1206207275390625,3.858856201171875,5.377838134765625,0.3871917724609375,0.3811187744140625,0.4638671875,36.20196533203125,texting
0.88,0.2301025390625,4.1009063720703125,6.0909576416015625,0.3871917724609375,0.3811187744140625,0.4638671875,36.20196533203125,texting
0.9,-0.0060272216796875,4.0026092529296875,6.629180908203125,0.4686737060546875,0.7276458740234375,0.78173828125,36.20196533203125,texting
0.92,0.5833892822265625,4.169830322265625,7.0093841552734375,0.4686737060546875,0.7276458740234375,0.78173828125,42.509307861328125,texting
0.9400000000000001,0.696136474609375,4.532867431640625,6.7269744873046875,0.4686737060546875,0.7276458740234375,0.78173828125,42.509307861328125,texting
0.96,0.696136474609375,4.532867431640625,6.7269744873046875,0.4686737060546875,0.7276458740234375,0.78173828125,42.509307861328125,texting
0.98,0.713226318359375,5.0311126708984375,6.8871307373046875,0.4686737060546875,0.7276458740234375,0.78173828125,42.509307861328125,texting
1,0.6189117431640625,5.3828277587890625,7.4352874755859375,0.4686737060546875,0.7276458740234375,0.78173828125,67.20877075195312,texting
1.02,0.5114288330078125,5.478118896484375,8.310394287109375,0.4686737060546875,0.7276458740234375,0.78173828125,67.20877075195312,texting
1.04,0.60284423828125,5.8571014404296875,9.255783081054688,0.4686737060546875,0.7276458740234375,0.78173828125,67.20877075195312,texting
1.06,0.9837799072265625,6.4252471923828125,9.72100830078125,0.4686737060546875,0.7276458740234375,0.78173828125,67.20877075195312,texting
1.08,0.7653045654296875,6.212554931640625,10.062042236328125,0.4686737060546875,0.7276458740234375,0.78173828125,67.20877075195312,texting
1.1,0.3447265625,5.7474212646484375,11.0843505859375,-0.4289398193359375,0.6455230712890625,0.7783203125,131.39027404785156,texting
1.12,0.6356201171875,5.562530517578125,13.523239135742188,-0.4289398193359375,0.6455230712890625,0.7783203125,131.39027404785156,texting
1.1400000000000001,1.421600341796875,5.085418701171875,15.419326782226562,-0.4289398193359375,0.6455230712890625,0.7783203125,131.39027404785156,texting
1.16,1.1362762451171875,4.46649169921875,11.633544921875,-0.4289398193359375,0.6455230712890625,0.7783203125,131.39027404785156,texting
1.18,-0.29486083984375,4.8162994384765625,8.761810302734375,-0.4289398193359375,0.6455230712890625,0.7783203125,131.39027404785156,texting
1.2,-2.0002288818359375,5.1164398193359375,7.4043121337890625,-0.4289398193359375,0.6455230712890625,0.7783203125,131.39027404785156,texting
1.22,-2.684356689453125,5.11083984375,7.1857757568359375,-0.4289398193359375,0.6455230712890625,0.7783203125,131.39027404785156,texting
1.24,-2.1165008544921875,4.634552001953125,7.1561126708984375,-0.4289398193359375,0.6455230712890625,0.7783203125,166.1116943359375,texting
1.26,-0.9642333984375,3.993896484375,5.9460906982421875,-0.4289398193359375,0.6455230712890625,0.7783203125,166.1116943359375,texting
1.28,-1.15802001953125,3.999267578125,5.0462646484375,0.1208953857421875,0.20751953125,0.593414306640625,166.1116943359375,texting
1.3,-1.0593109130859375,4.1144256591796875,4.5021514892578125,0.1208953857421875,0.20751953125,0.593414306640625,166.1116943359375,texting
1.32,-0.5643157958984375,4.2722625732421875,4.4992218017578125,0.1208953857421875,0.20751953125,0.593414306640625,173.63226318359375,texting
1.34,0.157073974609375,4.4352874755859375,5.22442626953125,0.1208953857421875,0.20751953125,0.593414306640625,173.63226318359375,texting
1.36,0.68438720703125,4.5287933349609375,6.0642547607421875,0.1208953857421875,0.20751953125,0.593414306640625,173.63226318359375,texting
1.3800000000000001,1.0302581787109375,4.78961181640625,6.4405670166015625,0.1208953857421875,0.20751953125,0.593414306640625,173.63226318359375,texting
1.4000000000000001,1.22515869140625,5.194854736328125,6.619720458984375,0.1208953857421875,0.20751953125,0.593414306640625,173.63226318359375,texting
1.42,1.2332305908203125,5.9739990234375,6.9519195556640625,0.1208953857421875,0.20751953125,0.593414306640625,138.62432861328125,texting
1.44,1.9952545166015625,6.3990631103515625,7.550811767578125,0.2314910888671875,0.3235321044921875,0.8307952880859375,138.62432861328125,texting
1.46,2.32763671875,6.4977874755859375,8.148513793945312,0.2314910888671875,0.3235321044921875,0.8307952880859375,138.62432861328125,texting
1.48,1.7653350830078125,6.664276123046875,9.811691284179688,0.2314910888671875,0.3235321044921875,0.8307952880859375,138.62432861328125,texting
1.5,1.7355194091796875,6.8864593505859375,9.866012573242188,0.2314910888671875,0.3235321044921875,0.8307952880859375,54.920654296875,texting
1.52,1.0841064453125,6.8704986572265625,10.313735961914062,0.2314910888671875,0.3235321044921875,0.8307952880859375,54.920654296875,texting
1.54,0.6224517822265625,6.1163330078125,11.733627319335938,0.2314910888671875,0.3235321044921875,0.8307952880859375,54.920654296875,texting
1.56,1.085540771484375,5.8174896240234375,9.973800659179688,-0.0742340087890625,0.0337371826171875,-0.099456787109375,54.920654296875,texting
1.58,1.098297119140625,5.6926727294921875,8.137313842773438,-0.0742340087890625,0.0337371826171875,-0.099456787109375,73.99835205078125,texting
1.6,0.68890380859375,5.5456695556640625,7.5721588134765625,-0.0742340087890625,0.0337371826171875,-0.099456787109375,73.99835205078125,texting
1.62,0.49810791015625,5.3523406982421875,8.378326416015625,-0.0742340087890625,0.0337371826171875,-0.099456787109375,73.99835205078125,texting
1.6400000000000001,0.4748687744140625,4.825958251953125,9.182113647460938,-0.0742340087890625,0.0337371826171875,-0.099456787109375,73.99835205078125,texting
1.6600000000000001,0.7136688232421875,4.2418060302734375,8.87200927734375,-0.0742340087890625,0.0337371826171875,-0.099456787109375,73.20361328125,texting
1.68,0.9456634521484375,3.825531005859375,7.6847686767578125,-0.0742340087890625,0.0337371826171875,-0.099456787109375,73.20361328125,texting
1.7,0.931732177734375,3.6428680419921875,6.1788787841796875,-0.0742340087890625,0.0337371826171875,-0.099456787109375,73.20361328125,texting
